name	date	rate	text	helpful
Jaspreet Kaur	2021-07-08	1	This app is good. But from yesterday it's not working. I'm not able to attend my classes. It's just showing connecting. There is no network problem in my area. But zoom is not working. Sorry 😐 to say, but I don't like this anymore. Solve this issue as soon as possible. It's really disappointed me that I tried from many devices but it's not working. 😑	36
Vedant Mungekar	2021-07-08	1	Sir i cannot connect to the zoom meeting for online classes. It is showing connecting for long time but could not connect and join the classes. Please look at the issue. As soon as possible.sir please solve the bugs. I am using this app since 1 years. It was working smoothly. But after updating new version it started showing connecting issues.	5
Elizabeth James Sanna	2021-07-07	1	I hope there was a I way I could give no stars. When ever I try to join a meeting. It always shows unknown error occurred. I also tried to report the issue many times but no solution to those problems. I hate this app. Please do not use it. Google meet is more better.	98
LWJia	2021-07-05	4	Everything is good so far, i've used it for almost a year and it really help my online class. There's one thing about the new update which causes trouble to me is when someone presents with their camera on, the small screen that displays their face blocked the screen which they present. The old way of the screen placement is okay. I hope this can be fixed soon since it is really inconvenient. Thank you.	788
Prathamesh Supal	2021-07-08	1	In starting it was an excellent app but due to recent update there is an issue with the app . App doesn't work properly & shows on connecting meetings that : can't connect to our service check internet connection . Ichecked my connection it was proper all apps were working instead of these app only . I tried clearing data & app chache and also reinstalling the app but it doesn't worked. Pls work on it....	3
Advesh Darvekar	2021-07-08	5	This is the best app for online classes and meetings with family and friends. I love its features. It is very easy to use. There are some small features that make it the best of all other platforms. Like while the teacher is teaching, you can swipe a little bit to pause the frame. This helps if the teacher is about to erase anything from the board. I wish that it could support 2 meetings at a time on one device 😁. Its security has improved a lot and you don't have to worry about zoom bombing.	1874
Kanchan Rai	2021-07-09	1	"I am very frustrated with this app.I am not able to join my online classes because of this app. It was very good before the update but after the update it became worst.Every single time I join it always say""Can't connect to our service, please check your network connection and try again.Error code:104101"". Although my network is also very good. Please fix this issue as soon as possible."	4
Deepanshi Malik	2021-07-08	1	Worst app . I wish i could be able to give it 0 star. Earlier it was working very well but now i am not able to connect from my phone . It shows network problem even thought when my net is working very well. And my classes are going on this app and i am not even able to join , because of this isssue , I am not able to study . Please correct the issue .	2074
Sumit N	2021-07-04	4	I like it as the service being provided by this app atleast to a few users other than business employees, is for free. Also because it enables me to save presentation images in my media gallery. Although, I am not able to sign in to Zoom for accessing the ‘Virtual Background mode’, maybe due to my age limit as per the terms and conditions of Zoom. Doesn't matters. As of now, the limited features are though enough for me.	1009
Ruchitha kamini	2021-07-09	1	It's going worst and worst for the past one week for me ... while I'm attending classes it's often showing connecting and then its telling that it has a network error and then showing error code . But there is no network error in my area and all other apps keeps working except these app ..I'm being frustrated with this ... please check it as soon as possible	5
Shweta	2021-07-08	2	I wish all the messages send through chat get saved in some file for a day(for a limited time) to review them later without having to copy message again and again during the meetings. And zoom doesn't connect around 10 am ist for some reason I hope it gets fixed soon. It's been 3 days since this problem has continued. :( Error code : 104103	19
Jared H.	2021-07-04	1	Completely unusable mobile experience. Every 2 seconds the audio cuts out for about 1 second. This results in not being able to get anything anyone is saying, & basically cannot use for mobile. Updating to add this issue has been ongoing for months across multiple mobile devices for multiple users. A general Google search find MANY experiencing this. Stable internet, on & off VPN's, different internet connections, different routers, on & off wifi, but the problem persists.	107
Harbhej bath	2021-07-07	4	Overall good but sometimes I face problems like unable to join meeting . It's major problem for me which I mostly face . Please solve this problem. I face it both on lptoo and mobile usually . And also I restart my phone nd check my network bt didn't found any problem in it . Please solve this issue otherwise it is superb app and becoz of jst this issue I have give it 4 stars	4
Sabita Sahoo	2021-07-08	1	This is the worst app I've ever experienced worst means worst!!! This app was being used by our school before it was okay but now in all meetings nobody literally all of them in our school face this problem. Zoom please see to it and be to it. Sort out this problem as fast as you could. Don't just gain ratings. I will give you good feedback till you'll sort out this problem. Don't expect this from me.	2
Pirty Kumawat	2021-07-08	1	This app was good but now I am facing a lot of trouble in opening the app this always shows that connecting on the top and then a error comes about the network but my network is absolutely fine.I am a student and I have to take lectures on a daily basis. So, I request to zoom to solve my problem as soon as possible.	19
Vandita Negi	2021-07-07	3	I tried to connect my class but didn't connect. after having a good network speed of 35 MBPS it still shows we check your network connection and try again. Due to this problem I missed my classes and now I am having trouble in understanding concepts that were taught in the class. Please fix this bug.	29
Vedanti Gawade	2021-07-08	3	Its really a nice app. But from yesterday I am having an issue that I am having network issue but I don't have any network issues the network is running nice on other apps. So please check this and fix it. I read other comments also on this same issue.	4
Vaishnav Sheramkar	2021-07-07	1	Something is wrong in this app because if there is 5G internet, then too sometimes it requires wifi to join meeting and if we turn of wifi after joining meeting then after few movements it gets disconnected to meeting so I request the app engineer to resolve these problem, as I'm a student it is very necessary to attend my entire classes because I am an future of my country so I request you to find some solution on these problems and I have trust on zoom so Thank you for reading my opinion..	39
Kanishka N S	2021-07-08	2	First two classes went well . After that everytime when I click the link or enter the id it starts loading ..when connecting gets more time it says can't connect to the server ... So many times I missed two classes of this . How can my connection gets wrong everytime what's happening on your app.. connecting connecting how many times .... Yesterday also same happened and today too. I don't know how many of them faced . Worst app	7
Kasham Madhuri	2021-07-08	1	"Okay, I am using this app for many months now to attend my online classes, and now, whenever I'm opening a link sent by my teacher , a message is displaying on the screen called "" an unknown error occured/check your network connection"", my network is pretty good , I have even reported my problem many times but no response. Due to this I am missing my classes,I don't even have the option to change to different app because my school conducts classes from this app only, I request zoom to fix this"	14
Haris Lateef_46	2021-07-08	1	This app was good. But since few days it's showing some kinda error 104103.Although everything is good in my phone like network connection. But still it's doesn't work. I have lectures on daily. Please resolve this issue as soon as possible.	2
Megha Goswami	2021-07-08	2	This app is good. but nowdays I am unable to attend a meeting in this app. it shows network problem; I don't know why because my network is good. I am giving it 2 star. I hope you will fix the bug in 2 or 3 days. Please fix this bug 🙏... I am unable to study online..😐😐😐😐😐😐	21
Manohar Bhagwani	2021-07-08	1	In the starting the zoom works best but nowadays we are not able to join any meeting. It shows that check your network connection and error code 420411. Our meetings is important so we have to join it regularly. I hope that zoom will understand the mistake and solve it soon. And our class is continue without any problem.	8
Crazy Cassidy	2021-07-07	3	This is a great app but when I'm chatting with my friends, and I have to share a photo with them, the photo album is not showing any pictures, and when it does have pictures, it's only showing me OLD photos. Y'all need to fix my problem so I can give a higher rate	5
Kalyani Tammu	2021-07-07	3	It is a very good app i should say. I should say about the audio quality is that it breaks in between when someone is speaking and the video quality is not that good (sometimes only) that when someone is screen sharing in my online classes , also i am not able to share my screen.And i am not able to download the emoji library. So that is the problem i face in the app otherwise it is very good Thank you	5
Kewal Singh	2021-07-01	3	Everything is okay with me while using the application but only the think that irritates me is whenever the internet connection goes down for just a few seconds only, the zoom interface is also disappeared. I'll say that zoom is much better than Google meet but in meet we see that after the instability of network, still we can see google meet atmost for a minute. So please work on it. Thank you.	1489
Javier MM	2021-07-09	4	From the most popular apps, Zoom is my favourite one. Intuitive. Simple. Smart. 4 stars and not 5 since I'm experiencing that I can't share audio with the quality I'd like to. I hope they'll improve this in the near future.	0
The 2 Sisters	2021-07-06	3	This isnt really I was expecting and I think you guys should recieve 3 stars only... I never have given a applocation ★★★ stars... The reason I gave 3 ★★★ because Whenever I am reading a school textbook online... I am getting disconnected everytime. my teacher is now fed up and thinks that I have bad internet connection still I have unlimited for my school... So... Also if I clicked leave by mistakly then I automatically get disconnected for a stupid reason. plz solve the issue...	9
Jewell Fernandes	2021-07-03	3	I won't rate this app a 5 star! It's one of my least favorites.. I don't know why but even after having full WiFi connection it still doesn't work..but the best part is that it works well..all features are very easy to use and If there was no such problem I would have rated 5 stars!😁 I hope they do some changes ☺️	269
தமிழே உயிர் !! Thamizhe Vuyir !!	2021-07-06	4	It is really useful when we need to represent some thing live . I have joined many programmes but in zoom only it is perfect but the problem is , zoom doesn't work with a little bit low network connection but It is really useful for many things which can be done online. Another problem is only 1000 (one thousand )people can on.y join in one meeting.	548
Kavita Bhalerao	2021-07-08	1	Firstly it was working good but after I was getting problem on my Laptop. Somtimes I was not able to connect to my Computer Audio and sometime also I am not able to on my Laptop video camera. Also my son and daughter are getting trouble to study on Zoom Meeting. When my children's subject teacher ask them a questions they cannot give answers because of this problems.... Please fix this problems very Soon	11
Manogna Manu	2021-07-08	2	Really zoom is an very interesting app I used zoom app from 1 year but in recent days it doesnt works properly it shows connecting and at lasts it shows cant connect to our server error code network connection but my data is good for all other apps but zoom shows network issue ..so i wish zoom will let help soon to this issue..plz i missed all my online classes plz solve this problem..	6
Manasa Naveen	2021-07-08	5	It's a good app I would love to give 5 stars based on camera clarity as well as our Mik usage.... Loved it.... But the only problem that occurred today is I'm not not able to log in to the meeting.... It shows connecting but never lets in.... I'm done looking at all the solutions on Google please do something and fix the problem....a humble request!	25
Golden Grahams	2021-07-09	3	The last update has caused the phone to heat up/overheat more than normal. To the point that I can't use split screen for more than a few minutes. When I'm not using split screen it is still noticeable how hot the phone. It also is very heavy on battery consumption.	3
Thyagaraju H C	2021-07-08	1	Zoom app is very bad app and not working properly because i am no able to attend the class from 2 days it will show connecting (network error code 104101) even i have very good network not only me my friends also have these problem this version is very bad and it is having lot of problems please slove it fast. Old version was very good. Google meet is 100% better than this app.so I will give only 1 start	0
rajinder jit singh	2021-06-30	3	It's good to use but the issue is of virtual background. It is only supported in certain Android mobiles. A mobile or a computer which is one or two year old version does not support virtual background which is not good. A simple software which supports all Android including old versions should be able to get this virtual background.	1530
VJ S	2021-07-07	2	Still replete with design flaws. Crashes. Unreliable. Controls are not intuitive. Can't tell if video falls out of mute. Loses recordings in the paid version. Can't run in the background. Zero support. Use anything else. Deeply frustrating.	5
Neetu Das	2021-07-07	1	enough is enough...this app has so many queries...and I am seriously fed up of the problem of disconnecting again and again , and error code...after each and every minute the meeting disconnect and the error code occurs...And the audio and video quality is also not good...So poor Zoom... Not willing to give you even a single star...and seriously I will not share this app with anyone :(	262
YASH ThAKuR	2021-07-08	4	Wondering why I gave 4 stars... Well I will rate it 5 stars... Yes you read it right if u fix a problem... The problem is as follows: When I was in my meeting with my friend suddenly when annotating the anotating option that suddenly disappeared I was not able to understand it properly... So I restarted my device and it worked but still I was in shock when this happened... If u fix this issue then reply me so that I can know that the issue is fixed... Then I will change my rating to 5 stars.....	18
AP TOPPER CLASS 6 TO 10	2021-07-05	3	There are lots of bugs and problem 1 . When our network is weak then the meeting is automatically disconnected . 2. When we send the massage on personal chat in zoom during meeting then how can I know which person I send massage he/she read or not so you can lunch any thing which shows the massage readed or not readed . Other things is good there are problems so I don't give 5 stars . Thanks for reading my Feedback .	12
Arvind Gupta	2021-07-04	3	I gave it three stars because this is a vry good app bt two pronlems are there, first one is class takes time to join and if little network issue is there then the class gets disconnected. N the second reason is it doesnt support virtual background in all the mobile phones , my mobile phone is only 5 to 6 days old after that also it doesnt support virtual background , except in some androids and laptops .. So please fix these two issues as soon as possible.	47
Cute girl Shreya	2021-07-08	1	This app is good.. but when I enter the meeting it's written connecting I wait after that it is written can't connect to your service error..before it doesn't happens now only it happens fix this issue..I can't do my online classes..and also it uses lot of battery and mobile data..my battery gets drains easily..fix this	10
Eva Wood	2021-07-07	5	First time using this app, met with a therapist, definitely better than talking on the phone without video, it was like I was actually visiting with her in person, seems like every conversation should be on Zoom instead of the phone. Going to try to use this for more conversations in the future. Thanks Zoom and Thank you Alexandria!	133
Arshdeep Sandhu	2021-07-08	2	"At starting the app was working good.... But now in some meetings it is showing ""can't connect to our server, please check your internet connection and try again error code:104103""......please fix this we are not able to attend our classes because of this... kindly do something about it . I am sure this is not because of my network"	3
Merina Chaudhary	2021-07-08	1	I don't like this app. I am not able to sign in how much I try because of this Issue. I miss my 4 classes and still missing it. In the past I can directly enter into class by typing I'd and password it didn't need any sign up but why this day it need sign up. Please fix this issue .	13
Hema Rana Rana	2021-07-08	1	"I'm using zoom from one year.... but the problem I'm facing nowdays I haven't faced that before....I usually take my online classes from it...but from yesterday me nd some of my frnds are not able to connect..Our network is proper..but I don't know why it's showing"" check ur ntwrk problem"" "" error code 104103"",plss do something to it we have tried wifi, hotspot sharing but nothing is working..we are not having ur classes from yesterday, it's a major issue becoz it's happening with many of us."	6
Risalat Khan	2021-07-09	1	Worst app ever beacuse previous it's working exellent and now it doesn't working .I miss my classes because of the error issue when the class started connecting it shows an error of network error of .........code 5 infact my network is working pretty fast .😒😒☹️ .Please solve this problem them I will definitely give it 5 star ⭐.	0
Star Druva	2021-07-08	3	Worst appso give it as 3 ever seen for online class. Because its coming report problem. When I will try to join it will join but coming preparingmeeting I don't know what is happens It was working before but now its not working............ I hope you full fill it and make a upade on it! And there is a problem when we join meeting it turn my camera to front I don't know why please make update in it!and nwaydays it's showing me connecting but does not connect and it's shows that report problem....	3
Adity's creative corner	2021-07-08	1	When I started using this app , it was all good I mean everything was perfect but I don't know why from two to three days I am facing some problem and it only shows connecting and gives some error codes although my network is perfect but then also its showing like that so yeah...pls solve this problem...	4
Mayank Pal 6th A	2021-07-08	2	After new update there are many technical issues. Many times error occurred. Error Code 104103. Shows connecting but didn't connect. Not only I but many people are facing this problem. Please solve the technical issues	0
MANCHIKATLA ULLAS	2021-07-08	2	Its a very good app, but now a days audio is not connecting properly. My phone's microphone is not connecting but it is showing connected. But other applications which are using microphone is perfectly alright. I am facing this problem and it is being a problem to join meetings	2
Matthew Dimmett	2021-07-04	4	Great meeting app. Definitely ahead of it's time. I wish it was a bit more universal though. As in the controls are the exact same for a @ndroid, iphone, tablet, ipad, or laptop. Touch control obviously not one of them. But I'd be nice to have your raise hand feature out with the mute button all around for every device.	21
Vibhuti Wagh	2021-07-05	1	Its a good app but I don't know why I am facing problem with this app. I m not able to hear audio from zoom app only. My bluetooth are working in all other app except zoom. And I m not able to hear audio even with normal earphones or speaker. Hence I rate it with 1 star only	35
HV T	2021-07-08	3	Its a good app though but nowadays I'm facing some problems like one of the biggest problem is that when i join a meeting it takes my name and says connecting but it doesn't connect my Internet speed was above 3mbps but it didn't connect after waiting for a long time.I don't know it is a bug or what but please fix it.I can't do my online class	0
Debapriya Sinha	2021-07-09	1	It's the worst app I have ever seen At the first my class not starting telling connecting connecting... After that every 3 to 5 min I m getting disconnected but all my online websites are working perfectly. And this is giving me an eror 10283.And sometimes I can't hear my sound but my net speed is around 2mb per sec. But then also I'm getting disconnected And it's happening every day so PLZZ fix this.Thankyou	0
Sanjana Islam	2021-07-04	1	Previously it was really awesome..no internet issues..I have to do 6 classes regularly through it..but recently I found out that I can't join the meeting while my wifi is still working..then if I switch to mobile data,only then I can join..I thought this to be my wifi problem..bt I checked that out and my net was still working.so please fix it..	48
Avdhoot Gole	2021-07-09	4	"Heres a little help for that ""check your network connection"" problem if you are laptop or pc user. When it error occurs, a dialogue box will show with an option ""Join from browser"", click that option. This work for me atleast for now......or else, ZOOM u need some serious fixing....."	0
Zankhana Nagarsheth	2021-07-08	1	It's the worst app in the world. From 2 days when I am trying to join any meeting it's just showing connecting and after sometime shows that it's an error to join meeting due to network connection. But network connection is excellent then also. So ols try to solve this problem	6
Pradip Das	2021-07-09	3	In starting really enjoyed But Nowadays during my online classes it keeps showing connecting and it doesn't connects and shows a error code and i my internet is good and is easily running over other apps ,This problem is not only for me but also for many of my freinds .PLZ Fix it I am missing my online classes at Zoom. Thank You!	0
Dhruv Yadav	2021-07-07	1	Bad audio after update!! Please fix it as i am unable to listen. I am unable to listen what's going in the meeting. I complained your app many days later. Till now i am not getting good audio. I am attending classes without listening anything. Fix this ASAP. 😭😤😤	15
Lorena Sirchia	2021-07-03	3	Fantastic app, I use Zoom all the time can you please include more settings to change screen resolution and to choose the amount of participants you can see at 1 time. on my Ipad i can see 9 however on my samsung i can only see 4, it will be great if you could add this feature where we can choose how many to see on one screen instead of having to keep swiping to see more. Please advise if this is possible.	27
Voladri Mahipal Reddy	2021-07-09	1	It worked excellent until 6 July 2021 but later on when try to join a class it is showing connecting for a long time and I am not able join the meeting even after 25 mins. Please fix this issue. Not only me every one I know who uses zoom have been facing this issue.	0
Rakesh Singh	2021-07-08	3	This app was working good from last 1 year, but from few days whenever i join any meeting it unable me to join and shows that there is some error problem.....and even after checking all the networks also it shows the error. Please do check this problem and sought it down sooner.	3
Krisha Patel	2021-07-06	1	"I'll give only one star because it doesn't makes any updates ,we need virtual background with update on it and voice cuts every time when my teacher is teaching, my network is always better but the app only doesn't responses ,so plzz make it sure to fix the problem of virtual background. and voice cutting too. Pls give more updates twice a month because I makes lots of problems and teachers blame us that ""you are joining late and blaming the network issue that's not fair "" Pls be responsible .🙏"	39
Prasmita Paul	2021-07-09	1	"The app keeps glitching and there are frequent connectivity problems while online classes. This has been a recent problem. While all other apps are working flawlessly with my network connection, zoom keeps on showing ""connecting"" and ""error:5""."	0
Simran Surve	2021-07-05	3	I enjoyed every meeting here on zoom because of its good features but now the real problem is coming in notice. Whenever i chat during the meeting, and when i come back to the normal screen it turns black and cannot see what our teachers are doing. Please try to fix it as soon as possible.	19
Dimple Goyal	2021-07-08	1	. Today I have my most important lectures but I was not able to connect as it was showing connecting only . I have just tried not from 1 cell but from 3 . By God grace if it connects then after 2 to 3 minutes it shows network issue and report problem Plz solve this problem as my classes are going on Day after tommorow my exams are also starting So plz....	0
MAXIOUS BECK	2021-07-08	1	Worst app ever in my life I bought a new mobile because My old mobile wasn't able to handle it but the same thing happened in this new mobile that can't connect to our service check your internet connection although I have a good internet connection and best android 11 Octa-core Helio G 70 procesor then also. Please improve your app.	17
Konduru Raga Ranjitha	2021-07-08	5	It is very excellent app which was used my me.. It's very useful app for the students and schools also.. But zoom giving only 40 min class for each time.. We have to conduct a new meeting after that 40 min.. I don't know why it happens like that..	3
Abdul Ghani Hanidu	2021-07-05	5	The app provides a medium to conference and easy to use platform. It provides me the opportunity to see and discuss with friends during this period. I am enjoying using this app. Excellent media platform for live communications.	21
Ankita Saha	2021-07-09	1	The worst app I have seen and used before . It was good before but now its not working properly i have uninstalled the app and then installed it but the problem is same i have changed my account but then also the same problem happening it showing connecting and connecting but then it showing that i have a network issue but it is not true , because everything is working I can also call via internet and can also attain Google meet meetings . I have to say that g meet is far better then zoom😡	0
H A Nag Ashrit	2021-07-09	1	What nonsense app it is.After the update its not at all connecting.Its showing network error.Please look into the matter at the earliest.........And please fix the bug as soon as possible.........Even half star is not worth. Absolutely terrible appp.Utter nonsense Please give us the older version.🙏	0
Radika Wijesinghe	2021-06-25	3	It good but it not sharing audio (some apps:YouTube) when sharing the screen. Edit 2: I would like to see that if zoom is used on a tablet that you can see everyone on 1 screen at once instead of swiping Edit 3: Both Phones and Laptops etc can use background it would be a nice touch. Edit 4: Would like to see Zoom Optimesed for a tablet. Still No changes to the app	164
Koushik Ashwatha	2021-07-09	1	worst app everseen first it was nice but now I am facing many problems in this app (1)iam no able to connect to meeting so times it shows me ur in meeting but actually iam not 2.ut shows its connecting but it take almost a half hour to connect to meeting where meeting will only be ended iam not the only person facing this but all my friends are facing this so guys I suggest you not to download this app .If u fix the above problems then we can rate this app for five star no doubt	0
Crystal Dodd	2021-07-05	1	Used to work okay. Yesterday it took 45 mins. to get into a meeting. It kept saying passcode error. And today with a different meeting I'm still getting a passcode error, even using copy/paste to avoid chance of error. Today I tried uninstalling and reinstalling, but still same error. Ridiculous.	16
Aditya Tripathi	2021-07-08	4	This app is good as it is very useful in this pandemic time... We all know that India is facing this pandemic for two years.. So for online teaching many educational institutions are using this app for teaching the students online.. I have given it four stars because sometimes when we sign in the app it shows error and we cant able to sign in even if our email id and password is correct... Please fix this problem.. I hope this problem will solved in the coming update of app....	2
Santosh 84ya	2021-07-07	4	It is very nice app and background are best Idea ever any aap has not thinked about that. And chat also for chating personally. The raise hand option for if you want to ask something from the host or teacher. I love zoom app. Yes that's true that it always ask the name to be written but when your zoom app is fully updated then it doesn't ask name to be written. Because there is setting that never ask you to write the name again and again. Thank you.	65
Miss DiKey	2021-07-08	5	I like this app because it has cool features such as background and video filter. Pls always update the video filter with frame such as: bookcase, living room, garden, outdoor cafe, etc. So that our WFH can be fun and exciting. Thank you.	3
Praveen Gupta	2021-07-08	5	That app was good it's were very helpful for me in class I attended my teach us in lockdown we enjoyed but Mam voice not clear of network but good app and my mam not allow to on camera because all see others not focus in class and mam also not allow to send message to others because each and every do message each other and not focus in class and now 8 July not working when i open so error occurred comes so many time so mam said download again zoom if now that not work so mam search a new app ...	3
Divvya Joshi	2021-07-09	1	This app was seriously very good before its update but after that I have been facing a lot of issues though I don't have any fluctuating network, it has been difficult for me to attend my classes too and I can't even hear properly neither can I see the screen shared.. Please fix my problem 😶😶as soon as possible	0
kumari priti	2021-07-09	3	This is very good app but I can't join some important meeting when I opened zoom It show connecting for along time and then said Can't conect to our server Please chek to your network Connection and try again Error code:104101 So this is very bad issue so fix it as soon as possible please This is very serious issue if any one have very important meeting there app his this bug so very bad it can be improve this mistake in next uptate and please add many more things in the zoom app ok thanku	0
Raju Pathak	2021-07-08	1	Worst app ever. Despite of having good connection and all apps running well with Internet this app is just not connecting and always shows the same problem 'can't connect to server'. A trash app. I would recommend you to not install this. Really very very bad app.	1
marutha's Kutty foods	2021-07-07	2	Always we had this major problem as 5 error. Not able join our online classes, so for sure pls ensure this. I thought this is my own network prblm, but not at all. My friends too had this same problem. So pls ensure this problem . To make the learning perfect.thank you !	2
Saurabh Dubey	2021-07-08	2	Useful but not useful because it arises a lot of prblm for us.. When we r going to join the class then it continuously saying that report problem and show connecting and connecting. Because of this we r not able to join our online classes.... Very bad, vry bad.. So plzz plzzz plzz try to solve that prblm as soon as possible.........😠😠😠😠	1
